,county_name,population
0,Adams,102336
1,Allegheny,1223048
2,Armstrong,65642
3,Beaver,166140
4,Bedford,48480
5,Berks,417854
6,Blair,123457
7,Bradford,60853
8,Bucks,628341
9,Butler,187108
10,Cambria,133054
11,Cameron,4592
12,Carbon,63853
13,Centre,162660
14,Chester,519293
15,Clarion,38458
16,Clearfield,79685
17,Clinton,38998
18,Columbia,65932
19,Crawford,86159
20,Cumberland,250066
21,Dauphin,275710
22,Delaware,564696
23,Elk,30197
24,Erie,274541
25,Fayette,131504
26,Forest,7297
27,Franklin,154234
28,Fulton,14590
29,Greene,36770
30,Huntingdon,45491
31,Indiana,84953
32,Jefferson,43804
33,Juniata,24514
34,Lackawanna,210761
35,Lancaster,542903
36,Lawrence,87069
37,Lebanon,139754
38,Lehigh,366494
39,Luzerne,317343
40,Lycoming,113841
41,McKean,41330
42,Mercer,111750
43,Mifflin,46388
44,Monroe,168046
45,Montgomery,826075
46,Montour,18272
47,Northampton,303405
48,Northumberland,92029
49,Perry,46127
50,Philadelphia,1580863
51,Pike,55691
52,Potter,16802
53,Schuylkill,142569
54,Snyder,40801
55,Somerset,74501
56,Sullivan,6089
57,Susquehanna,40985
58,Tioga,40793
59,Union,44595
60,Venango,51762
61,Warren,39659
62,Washington,207298
63,Wayne,51205
64,Westmoreland,352627
65,Wyoming,27322
66,York,446078
