county_name,population,drug,arrests,incident_count,incident_total,drug_quantity,rate
ADAMS,102336,Fentanyl,1,1,2,0.00112,1.9543464665415884
ALLEGHENY,1223048,Fentanyl,24,24,48,6.23155,3.924621110536954
ARMSTRONG,65642,Fentanyl,3,3,6,0.00218,9.140489320861644
BEAVER,166140,Zero incidents recorded,0,0,0,0.0,0.0
BEDFORD,48480,Fentanyl,5,2,7,0.0006399999999999999,14.438943894389439
BERKS,417854,Fentanyl,1,1,2,0.003,0.47863607863033497
BLAIR,123457,Fentanyl,0,2,2,0.05,1.6199972460046816
BRADFORD,60853,Fentanyl,0,1,1,7.5e-05,1.6433043563998488
BUCKS,628341,Fentanyl,2,3,5,0.00723,0.7957462587989643
BUTLER,187108,Fentanyl,27,3,30,4.001898000000001,16.033520747375846
CAMBRIA,133054,Fentanyl,0,1,1,0.005,0.7515745486794835
CAMERON,4592,Zero incidents recorded,0,0,0,0.0,0.0
CARBON,63853,Fentanyl,1,1,2,0.02,3.1321942586879237
CENTRE,162660,Zero incidents recorded,0,0,0,0.0,0.0
CHESTER,519293,Fentanyl,15,9,24,48.096619,4.621668306717017
CLARION,38458,Fentanyl,3,3,6,0.092978,15.60143533205055
CLEARFIELD,79685,Fentanyl,2,2,4,0.0313,5.019765325971011
CLINTON,38998,Fentanyl,3,2,5,0.008,12.821170316426484
COLUMBIA,65932,Zero incidents recorded,0,0,0,0.0,0.0
CRAWFORD,86159,Fentanyl,1,1,2,0.005,2.321289708562077
CUMBERLAND,250066,Zero incidents recorded,0,0,0,0.0,0.0
DAUPHIN,275710,Fentanyl,7,6,13,0.013340000000000001,4.715099198433136
DELAWARE,564696,Fentanyl,4,6,10,0.5224,1.7708643234589938
ELK,30197,Zero incidents recorded,0,0,0,0.0,0.0
ERIE,274541,Fentanyl,3,9,12,0.013470000000000001,4.370931846245188
FAYETTE,131504,Fentanyl,1,1,2,0.003,1.5208662854361843
FOREST,7297,Zero incidents recorded,0,0,0,0.0,0.0
FRANKLIN,154234,Fentanyl,3,6,9,0.03141,5.8352892358364565
FULTON,14590,Zero incidents recorded,0,0,0,0.0,0.0
GREENE,36770,Zero incidents recorded,0,0,0,0.0,0.0
HUNTINGDON,45491,Fentanyl,0,1,1,0.000125,2.19823701391484
INDIANA,84953,Fentanyl,5,4,9,0.07970000000000001,10.59409320447777
JEFFERSON,43804,Fentanyl,1,1,2,0.001,4.565793078257694
JUNIATA,24514,Zero incidents recorded,0,0,0,0.0,0.0
LACKAWANNA,210761,Fentanyl,1,1,2,0.001,0.9489421667196493
LANCASTER,542903,Fentanyl,4,3,7,0.0009,1.2893647668183819
LAWRENCE,87069,Fentanyl,1,1,2,0.0283,2.2970287932559232
LEBANON,139754,Fentanyl,0,1,1,0.00025,0.7155430256021295
LEHIGH,366494,Fentanyl,3,3,6,0.535,1.6371345779194202
LUZERNE,317343,Fentanyl,8,7,15,1.160826,4.726746769268583
LYCOMING,113841,Fentanyl,2,2,4,0.0013,3.5136725784207794
MCKEAN,41330,Fentanyl,3,2,5,0.000107,12.097749818533753
MERCER,111750,Fentanyl,9,5,14,0.6801299999999999,12.527964205816554
MIFFLIN,46388,Fentanyl,3,4,7,0.004751,15.090109511080453
MONROE,168046,Fentanyl,5,4,9,0.004846,5.35567642193209
MONTGOMERY,826075,Fentanyl,4,7,11,0.034769999999999995,1.3315982205005599
MONTOUR,18272,Zero incidents recorded,0,0,0,0.0,0.0
NORTHAMPTON,303405,Fentanyl,2,2,4,0.055999999999999994,1.3183698356981592
NORTHUMBERLAND,92029,Fentanyl,0,3,3,0.0085,3.2598420063240936
PERRY,46127,Fentanyl,0,1,1,0.001,2.167927677932664
PHILADELPHIA,1580863,Fentanyl,11,16,27,14.6125,1.707927884959038
PIKE,55691,Fentanyl,2,2,4,1.5000000000000002e-05,7.182489091594693
POTTER,16802,Fentanyl,0,1,1,0.0001,5.951672419950007
SCHUYLKILL,142569,Fentanyl,1,3,4,0.033,2.8056590142317055
SNYDER,40801,Zero incidents recorded,0,0,0,0.0,0.0
SOMERSET,74501,Fentanyl,3,3,6,2.50055,8.053583173380222
SULLIVAN,6089,Zero incidents recorded,0,0,0,0.0,0.0
SUSQUEHANNA,40985,Fentanyl,1,1,2,1e-06,4.879834085641088
TIOGA,40793,Fentanyl,1,3,4,0.000126,9.805603902630354
UNION,44595,Zero incidents recorded,0,0,0,0.0,0.0
VENANGO,51762,Fentanyl,1,1,2,9e-05,3.86383833700398
WARREN,39659,Zero incidents recorded,0,0,0,0.0,0.0
WASHINGTON,207298,Fentanyl,2,2,4,0.00109,1.9295892869202789
WAYNE,51205,Fentanyl,1,1,2,0.001,3.905868567522703
WESTMORELAND,352627,Fentanyl,6,7,13,0.12673,3.6866150351504565
WYOMING,27322,Fentanyl,2,3,5,0.00119,18.30027084400849
YORK,446078,Fentanyl,10,10,20,0.027120000000000002,4.483520819228924
