county_name,population,drug,arrests,incident_count,incident_total,drug_quantity,rate
ADAMS,102336,Heroin,24,51,75,0.450019,73.2879924953096
ALLEGHENY,1223048,Heroin,232,213,445,7.298085,36.38450821226967
ARMSTRONG,65642,Heroin,182,128,310,1.4374040000000003,472.25861491118496
BEAVER,166140,Heroin,49,60,109,0.28665,65.60731912844588
BEDFORD,48480,Heroin,47,43,90,0.09804,185.64356435643566
BERKS,417854,Heroin,140,130,270,6.073740000000001,64.61587061509522
BLAIR,123457,Heroin,31,29,60,0.050373,48.599917380140454
BRADFORD,60853,Heroin,27,45,72,0.05094100000000001,118.31791366078912
BUCKS,628341,Heroin,197,161,358,2.3017510000000003,56.97543213000584
BUTLER,187108,Heroin,199,148,347,1.54821,185.45438997798067
CAMBRIA,133054,Heroin,33,46,79,0.17535000000000003,59.37438934567919
CAMERON,4592,Zero incidents recorded,0,0,0,0.0,0.0
CARBON,63853,Heroin,90,103,193,3.2991400000000004,302.2567459633847
CENTRE,162660,Heroin,80,81,161,1.458776,98.9794663715726
CHESTER,519293,Heroin,211,258,469,2.0404970000000002,90.3151014937617
CLARION,38458,Heroin,19,15,34,0.027663000000000004,88.40813354828644
CLEARFIELD,79685,Heroin,17,16,33,2.0123300000000004,41.41306393926084
CLINTON,38998,Heroin,18,23,41,0.06517099999999999,105.13359659469718
COLUMBIA,65932,Heroin,7,6,13,0.0025819999999999997,19.717284474913544
CRAWFORD,86159,Heroin,32,41,73,0.0658,84.72707436251582
CUMBERLAND,250066,Heroin,93,136,229,5.011631,91.57582398246863
DAUPHIN,275710,Heroin,225,264,489,22.116567999999997,177.36026984875411
DELAWARE,564696,Heroin,305,292,597,1.34727,105.72060011050195
ELK,30197,Heroin,2,2,4,0.0012000000000000001,13.246348975063748
ERIE,274541,Heroin,176,205,381,0.49059900000000006,138.7770861182847
FAYETTE,131504,Heroin,122,186,308,1.7424810000000002,234.2134079571724
FOREST,7297,Heroin,3,2,5,0.0039,68.52131012744964
FRANKLIN,154234,Heroin,96,98,194,0.85321,125.78290130580805
FULTON,14590,Heroin,18,20,38,0.062000000000000006,260.4523646333105
GREENE,36770,Heroin,13,18,31,0.07763,84.30785966820775
HUNTINGDON,45491,Heroin,62,75,137,0.10143100000000001,301.1584709063331
INDIANA,84953,Heroin,123,169,292,1.446352,343.71946841194546
JEFFERSON,43804,Heroin,43,87,130,0.047545,296.77655008675004
JUNIATA,24514,Heroin,10,15,25,0.018690000000000002,101.98254058905114
LACKAWANNA,210761,Heroin,59,55,114,0.9558600000000002,54.089703503020004
LANCASTER,542903,Heroin,135,170,305,15.299214999999997,56.17946483994378
LAWRENCE,87069,Heroin,15,19,34,0.48183000000000004,39.0494894853507
LEBANON,139754,Heroin,46,76,122,0.764187,87.2962491234598
LEHIGH,366494,Heroin,94,109,203,15.333083,55.38971988627372
LUZERNE,317343,Heroin,270,366,636,4.820946,200.4140630169879
LYCOMING,113841,Heroin,194,252,446,0.9600159999999999,391.774492493917
MCKEAN,41330,Heroin,2,2,4,0.002,9.678199854827003
MERCER,111750,Heroin,23,29,52,4.80703,46.532438478747196
MIFFLIN,46388,Heroin,21,29,50,0.034571,107.78649650771753
MONROE,168046,Heroin,301,247,548,9.191374,326.10118657986504
MONTGOMERY,826075,Heroin,270,195,465,4.120936,56.29028841206912
MONTOUR,18272,Heroin,5,7,12,0.02842,65.67425569176883
NORTHAMPTON,303405,Heroin,30,40,70,8.124961,23.071472124717783
NORTHUMBERLAND,92029,Heroin,26,44,70,0.30302100000000004,76.06298014756217
PERRY,46127,Heroin,28,35,63,0.082073,136.57944370975784
PHILADELPHIA,1580863,Heroin,402,371,773,53.01319000000001,48.897342780493936
PIKE,55691,Heroin,75,77,152,0.160499,272.9345854805983
POTTER,16802,Heroin,13,9,22,0.113311,130.93679323890012
SCHUYLKILL,142569,Heroin,63,103,166,0.534878,116.43484909061577
SNYDER,40801,Heroin,18,20,38,0.041387,93.13497218205436
SOMERSET,74501,Heroin,78,65,143,13.898301999999997,191.9437322988953
SULLIVAN,6089,Zero incidents recorded,0,0,0,0.0,0.0
SUSQUEHANNA,40985,Heroin,12,13,25,0.018389999999999997,60.997926070513586
TIOGA,40793,Heroin,10,17,27,0.03657,66.18782634275489
UNION,44595,Heroin,13,12,25,0.019260000000000003,56.06009642336585
VENANGO,51762,Heroin,8,24,32,0.030629999999999998,61.82141339206368
WARREN,39659,Heroin,5,3,8,0.0068000000000000005,20.17196601023727
WASHINGTON,207298,Heroin,205,230,435,0.966448,209.84283495258032
WAYNE,51205,Heroin,50,48,98,0.516015,191.38755980861242
WESTMORELAND,352627,Heroin,370,387,757,28.091623000000002,214.67442935453042
WYOMING,27322,Heroin,24,23,47,0.04917,172.02254593367982
YORK,446078,Heroin,372,367,739,17.570883,165.66609427050875
