county_name,population,drug,arrests,incident_count,incident_total,drug_quantity,rate
ADAMS,102336,Opium,1,1,2,2e-06,1.9543464665415884
ALLEGHENY,1223048,Opium,1,1,2,0.003,0.16352587960570641
ARMSTRONG,65642,Opium,3,2,5,0.002,7.61707443405137
BEAVER,166140,Zero incidents recorded,0,0,0,0.0,0.0
BEDFORD,48480,Opium,1,1,2,0.001,4.125412541254126
BERKS,417854,Opium,2,3,5,0.00128,1.1965901965758374
BLAIR,123457,Opium,2,4,6,0.053901,4.859991738014045
BRADFORD,60853,Opium,1,1,2,0.0026,3.2866087127996977
BUCKS,628341,Opium,0,1,1,0.00012,0.15914925175979286
BUTLER,187108,Zero incidents recorded,0,0,0,0.0,0.0
CAMBRIA,133054,Opium,1,1,2,0.005,1.503149097358967
CAMERON,4592,Zero incidents recorded,0,0,0,0.0,0.0
CARBON,63853,Zero incidents recorded,0,0,0,0.0,0.0
CENTRE,162660,Opium,6,8,14,0.11699999999999999,8.606910119267182
CHESTER,519293,Opium,8,10,18,0.04062,3.4662512300377624
CLARION,38458,Zero incidents recorded,0,0,0,0.0,0.0
CLEARFIELD,79685,Opium,2,1,3,0.002,3.7648239944782578
CLINTON,38998,Opium,2,2,4,0.0015,10.256936253141188
COLUMBIA,65932,Zero incidents recorded,0,0,0,0.0,0.0
CRAWFORD,86159,Zero incidents recorded,0,0,0,0.0,0.0
CUMBERLAND,250066,Zero incidents recorded,0,0,0,0.0,0.0
DAUPHIN,275710,Opium,4,2,6,7.000000000000001e-05,2.176199630046063
DELAWARE,564696,Opium,8,5,13,0.0177,2.302123620496692
ELK,30197,Zero incidents recorded,0,0,0,0.0,0.0
ERIE,274541,Opium,1,1,2,7e-05,0.7284886410408646
FAYETTE,131504,Opium,11,9,20,0.011050000000000003,15.208662854361844
FOREST,7297,Zero incidents recorded,0,0,0,0.0,0.0
FRANKLIN,154234,Opium,1,1,2,0.001,1.2967309412969903
FULTON,14590,Zero incidents recorded,0,0,0,0.0,0.0
GREENE,36770,Zero incidents recorded,0,0,0,0.0,0.0
HUNTINGDON,45491,Zero incidents recorded,0,0,0,0.0,0.0
INDIANA,84953,Opium,1,2,3,0.003,3.5313644014925902
JEFFERSON,43804,Zero incidents recorded,0,0,0,0.0,0.0
JUNIATA,24514,Opium,3,3,6,0.0015,24.475809741372274
LACKAWANNA,210761,Opium,1,1,2,0.009,0.9489421667196493
LANCASTER,542903,Zero incidents recorded,0,0,0,0.0,0.0
LAWRENCE,87069,Zero incidents recorded,0,0,0,0.0,0.0
LEBANON,139754,Opium,1,1,2,0.0001,1.431086051204259
LEHIGH,366494,Opium,2,2,4,0.00029,1.0914230519462802
LUZERNE,317343,Zero incidents recorded,0,0,0,0.0,0.0
LYCOMING,113841,Opium,0,1,1,6e-05,0.8784181446051949
MCKEAN,41330,Zero incidents recorded,0,0,0,0.0,0.0
MERCER,111750,Opium,0,1,1,1e-05,0.8948545861297539
MIFFLIN,46388,Opium,1,1,2,0.001,4.311459860308701
MONROE,168046,Opium,6,6,12,0.064035,7.140901895909453
MONTGOMERY,826075,Opium,4,4,8,0.00615,0.9684350694549527
MONTOUR,18272,Zero incidents recorded,0,0,0,0.0,0.0
NORTHAMPTON,303405,Zero incidents recorded,0,0,0,0.0,0.0
NORTHUMBERLAND,92029,Opium,1,2,3,0.00222,3.259842006324093
PERRY,46127,Opium,1,1,2,2.7216,4.335855355865328
PHILADELPHIA,1580863,Opium,3,3,6,0.0010509999999999999,0.37953952999089735
PIKE,55691,Opium,1,1,2,0.0001,3.5912445457973465
POTTER,16802,Zero incidents recorded,0,0,0,0.0,0.0
SCHUYLKILL,142569,Opium,1,4,5,0.000574,3.507073767789632
SNYDER,40801,Opium,1,2,3,0.002,7.352760961741133
SOMERSET,74501,Zero incidents recorded,0,0,0,0.0,0.0
SULLIVAN,6089,Zero incidents recorded,0,0,0,0.0,0.0
SUSQUEHANNA,40985,Zero incidents recorded,0,0,0,0.0,0.0
TIOGA,40793,Zero incidents recorded,0,0,0,0.0,0.0
UNION,44595,Zero incidents recorded,0,0,0,0.0,0.0
VENANGO,51762,Zero incidents recorded,0,0,0,0.0,0.0
WARREN,39659,Zero incidents recorded,0,0,0,0.0,0.0
WASHINGTON,207298,Opium,1,1,2,0.001,0.9647946434601394
WAYNE,51205,Zero incidents recorded,0,0,0,0.0,0.0
WESTMORELAND,352627,Opium,3,1,4,0.03,1.134343087738602
WYOMING,27322,Opium,1,1,2,0.027,7.320108337603396
YORK,446078,Opium,4,2,6,0.00103,1.3450562457686772
