county_name,population
ADAMS,102336
ALLEGHENY,1223048
ARMSTRONG,65642
BEAVER,166140
BEDFORD,48480
BERKS,417854
BLAIR,123457
BRADFORD,60853
BUCKS,628341
BUTLER,187108
CAMBRIA,133054
CAMERON,4592
CARBON,63853
CENTRE,162660
CHESTER,519293
CLARION,38458
CLEARFIELD,79685
CLINTON,38998
COLUMBIA,65932
CRAWFORD,86159
CUMBERLAND,250066
DAUPHIN,275710
DELAWARE,564696
ELK,30197
ERIE,274541
FAYETTE,131504
FOREST,7297
FRANKLIN,154234
FULTON,14590
GREENE,36770
HUNTINGDON,45491
INDIANA,84953
JEFFERSON,43804
JUNIATA,24514
LACKAWANNA,210761
LANCASTER,542903
LAWRENCE,87069
LEBANON,139754
LEHIGH,366494
LUZERNE,317343
LYCOMING,113841
MCKEAN,41330
MERCER,111750
MIFFLIN,46388
MONROE,168046
MONTGOMERY,826075
MONTOUR,18272
NORTHAMPTON,303405
NORTHUMBERLAND,92029
PERRY,46127
PHILADELPHIA,1580863
PIKE,55691
POTTER,16802
SCHUYLKILL,142569
SNYDER,40801
SOMERSET,74501
SULLIVAN,6089
SUSQUEHANNA,40985
TIOGA,40793
UNION,44595
VENANGO,51762
WARREN,39659
WASHINGTON,207298
WAYNE,51205
WESTMORELAND,352627
WYOMING,27322
YORK,446078
